match_no,winner_team
1,Chennai Super Kings
2,Punjab Kings
3,Kolkata Knight Riders
4,Rajasthan Royals
5,Gujarat Titans
6,Royal Challengers Bengaluru
7,Chennai Super Kings
8,Sunrisers Hyderabad
9,Rajasthan Royals
10,Kolkata Knight Riders
11,Lucknow Super Giants
12,Gujarat Titans
13,Delhi Capitals
14,Rajasthan Royals
15,Lucknow Super Giants
16,Kolkata Knight Riders
17,Punjab Kings
18,Sunrisers Hyderabad
19,Rajasthan Royals
20,Mumbai Indians
21,Lucknow Super Giants
22,Chennai Super Kings
23,Sunrisers Hyderabad
24,Gujarat Titans
25,Mumbai Indians
26,Delhi Capitals
27,Rajasthan Royals
28,Kolkata Knight Riders
29,Chennai Super Kings
30,Sunrisers Hyderabad
31,Rajasthan Royals
32,Delhi Capitals
33,Mumbai Indians
34,Lucknow Super Giants
35,Sunrisers Hyderabad
36,Kolkata Knight Riders
37,Gujarat Titans
38,Rajasthan Royals
39,Lucknow Super Giants
40,Delhi Capitals
41,Royal Challengers Bengaluru
42,Punjab Kings
43,Delhi Capitals
44,Rajasthan Royals
45,Royal Challengers Bengaluru
46,Chennai Super Kings
47,Kolkata Knight Riders
48,Lucknow Super Giants
49,Punjab Kings
50,Sunrisers Hyderabad
51,Kolkata Knight Riders
52,Royal Challengers Bengaluru
53,Chennai Super Kings
54,Kolkata Knight Riders
55,Mumbai Indians
56,Delhi Capitals
57,Sunrisers Hyderabad
58,Royal Challengers Bengaluru
59,Gujarat Titans
60,Kolkata Knight Riders
61,Chennai Super Kings
62,Royal Challengers Bengaluru
63,Abandoned
64,Delhi Capitals
65,Punjab Kings
66,Abandoned
67,Lucknow Super Giants
68,Royal Challengers Bengaluru
69,Sunrisers Hyderabad
70,Abandoned
71,Kolkata Knight Riders
72,Rajasthan Royals
73,Sunrisers Hyderabad
74,Kolkata Knight Riders
